Geneid sorted_2.bam sorted_3.bam ERR1755086-sort.bam ERR1755087-sort.bam ERR1755084_sorted.bam ERR1755085_sorted.bam
Rnf31 2544 2801 2317 2565 2620 2719
Irf9 3589 3300 3211 3502 3531 3642
Rec8 67 75 10 13 45 3
Ipo4 983 1026 438 501 962 490
Tm9sf1 1561 1541 1593 1669 1645 1671
Tssk4 62 62 63 71 53 58
Mdp1 1693 1543 1568 1593 1555 1863
Nedd8 1715 1557 1732 1911 1620 2085
Gmpr2 1555 1601 1446 1437 572 667
Tinf2 2098 1994 1756 1984 1976 2233
Tgm1 13 14 12 4 12 11
Rabggta 1473 1538 1273 1416 1466 1466
Dhrs1 826 770 1154 1223 847 1251
Nop9 1218 1063 1245 1302 1070 1500
Cideb 3 4 5 4 0 0
Ltb4r2 0 0 1 0 0 0
Ltb4r1 50 45 20 19 43 17
Adcy4 7 8 26 16 6 14
Ripk3 1645 1788 2214 2350 1856 2392
Nfatc4 1 2 0 0 0 0
Nynrin 33 27 3 8 32 10
Cbln3 12 13 2 9 4 2
Khnyn 4089 3801 3159 3410 3909 3649
Sdr39u1 1960 1938 1531 1686 515 535
Cma1 0 3 33 34 0 34
Mcpt-ps1 0 0 0 1 0 0
Cma2 0 0 0 0 0 1
Gm5801 63 56 67 71 74 85
Mcpt1 2 0 1 3 0 4
Mcpt9 0 0 0 0 0 0
Mcpt2 0 0 0 0 0 2
Mcpt4 0 0 1 2 0 2
Mcpt8 2 0 5 6 0 14
Ctsg 0 0 3 1 0 2
Gzme 0 0 0 0 1 0
Gzmd 0 0 0 0 1 0
Gzmg 0 0 0 0 0 0
Gzmn 2 0 0 0 0 0
Gzmf 1 0 4 1 1 1
Gzmc 30 30 34 28 27 28
Gzmb 9370 8860 49083 51770 9334 58013
Atp12a 0 0 0 0 0 0
Rnf17 23 16 6 5 9 6
Cenpj 1009 728 861 794 904 960
Parp4 4737 4100 3411 3370 4304 3913
Mphosph8 1518 1148 1090 963 1505 1296
Gm16973 543 455 351 333 590 414
Pspc1 1198 1121 855 861 1145 1063
Zmym5 3164 2592 1541 1563 2840 1926
Zmym2 3841 3187 2247 2158 3518 2564
B020004C17Rik 0 0 0 0 0 0
Gja3 0 0 0 0 0 0
Gjb2 152 149 15 8 168 14
Gjb6 0 1 0 0 0 0
Cryl1 220 229 126 136 211 136
Ift88 113 97 52 48 102 43
Il17d 0 0 0 0 0 0
N6amt2 338 286 295 300 345 341
Xpo4 1091 935 721 810 932 958
Lats2 2151 2089 2271 2375 2019 2638
Sap18 411 386 411 483 355 438
Gm10094 0 0 0 0 0 0
Mir3077 0 0 0 1 0 0
Ska3 541 415 640 588 458 662
Mrp63 582 646 757 797 653 910
Zdhhc20 4118 3340 4286 4402 3964 5400
Efha1 1941 1570 1486 1488 1649 1693
Fgf9 0 5 1 0 1 1
1700129C05Rik 0 0 0 0 0 0
Gm5142 0 0 0 0 0 0
Rcbtb1 2387 2081 1807 1776 2123 1988
Gm6904 84 50 53 61 64 90
Phf11a 254 201 296 389 216 442
Phf11b 1197 981 1603 1608 1108 1859
Phf11d 30 25 76 54 70 52
Phf11c 620 548 713 794 548 866
Setdb2 1218 1044 1280 1280 1168 1533
Cab39l 1158 994 1044 1093 1095 1215
Cdadc1 888 782 797 857 808 950
Shisa2 1 0 11 5 2 2
Atp8a2 31 28 59 46 41 62
Nupl1 1569 1417 1501 1540 1397 1649
Mir719 0 0 0 2 0 0
Mtmr6 2845 2588 2680 2560 2830 3187
Amer2 0 0 0 0 0 0
Spata13 11473 11017 10122 10857 11404 11691
C1qtnf9 15 12 9 15 21 9
Mipep 319 279 203 227 274 254
Tnfrsf19 0 2 3 1 5 0
Sacs 323 265 250 236 277 271
Sgcg 1 0 0 2 0 0
1700109G14Rik 0 0 0 0 0 0
Arl11 1 4 7 3 1 5
Ebpl 326 318 334 299 300 363
Kpna3 2378 1855 1974 1920 2137 2262
4930556J02Rik 0 0 0 0 0 0
Spryd7 360 317 262 276 313 345
Trim13 182 203 89 116 151 87
Dleu2 335 305 349 406 322 449
Kcnrg 33 22 21 24 5 8
Mir16-1 4 3 12 9 3 6
Mir15a 3 0 0 0 0 0
Dleu7 7 5 6 15 3 10
Rnaseh2b 773 738 1098 1079 786 1233
Gucy1b2 7 5 7 4 0 0
Fam124a 1 0 1 0 0 0
Serpine3 9 6 9 3 0 0
Ints6 2679 2154 1689 1596 2400 1920
4931440J10Rik 0 0 0 0 0 2
Wdfy2 308 273 96 116 279 131
Defb48 0 0 0 0 0 0
Defb47 0 0 0 0 0 0
Defb43 0 0 0 0 0 0
Defb30 1 0 0 0 0 1
Defb42 0 0 0 2 0 0
2700070H01Rik 0 0 0 0 0 0
Ctsb 7834 8185 4961 5653 8224 6091
Fdft1 755 689 591 635 767 671
Neil2 117 94 45 42 78 49
Gata4 0 0 0 0 0 0
Blk 39 39 176 219 43 222
Fam167a 12 7 19 16 9 35
Tdh 5 0 1 0 2 0
Mtmr9 1355 1157 1123 1241 1155 1326
Xkr6 77 99 23 28 58 28
Mir598 0 0 0 0 0 0
Pinx1 412 364 371 338 459 440
Sox7 0 0 0 0 0 0
4930578I06Rik 0 0 0 0 0 0
Rp1l1 0 0 0 0 0 0
Prss55 0 0 0 0 0 0
Prss51 0 0 0 0 0 0
4930471C04Rik 0 0 0 0 0 0
Prss52 2 0 0 0 0 0
Msra 423 405 305 340 453 337
A930011O12Rik 1 0 0 0 0 0
Mir124a-1 0 0 0 0 0 0
Mir3078 0 0 0 0 0 0
Kif13b 1501 1309 1598 1712 1346 1786
Hmbox1 954 802 527 598 831 600
Ints9 1616 1578 1404 1549 1648 1714
Extl3 2085 1884 1525 1555 1895 1732
Fzd3 2 1 3 0 3 1
Fbxo16 0 0 0 0 0 0
Zfp395 1244 1257 779 824 1183 954
Pnoc 0 0 0 0 0 3
Elp3 931 913 622 709 950 789
Nuggc 0 0 2 2 0 7
Scara5 0 0 0 0 0 0
Pbk 314 262 343 345 248 351
Esco2 918 669 953 980 837 1258
Ccdc25 1300 1088 1127 1205 1193 1534
Scara3 0 1 0 0 0 0
Clu 0 2 2 1 3 3
Gulo 0 1 0 0 0 0
Adam2 0 0 0 0 0 0
Ephx2 1 7 1 2 0 0
Chrna2 52 37 29 36 0 0
Ptk2b 8384 8136 7921 8482 8185 8939
1700001G11Rik 11 8 6 5 7 3
Trim35 2133 2177 1609 1780 2090 1835
Stmn4 2 2 0 0 0 1
Adra1a 4 5 0 0 5 0
Dpysl2 1706 1526 1377 1391 1718 1612
Gm5464 6 3 3 1 3 1
Pnma2 0 0 0 0 0 0
Bnip3l 2379 2153 2349 2405 2610 2892
Ppp2r2a 3925 3553 3061 3093 3889 3715
Ebf2 0 0 0 0 0 0
Gm6878 0 0 0 0 0 0
4930438E09Rik 0 0 0 0 0 0
Cdca2 960 863 980 1084 908 1231
Kctd9 1288 1065 862 817 1254 1035
Gnrh1 97 94 53 80 90 86
Dock5 1845 1591 6416 6971 1703 7575
Nefl 3 2 0 3 2 0
Nefm 3 3 1 0 1 1
A230070E04Rik 0 0 0 0 0 0
Adam7 0 0 0 0 0 0
Adamdec1 0 0 2 0 0 0
Adam28 0 0 0 0 0 0
Stc1 1 0 0 0 2 0
1700092C10Rik 0 0 0 0 0 0
Nkx2-6 0 0 0 0 0 0
Nkx3-1 0 0 0 0 0 0
Slc25a37 1273 1231 1174 1296 1276 1440
Synb 0 0 0 0 0 0
Gm16677 0 0 0 0 0 0
Entpd4 3 6 5 3 5 6
Loxl2 0 0 0 1 0 0
R3hcc1 530 491 435 448 492 448
Chmp7 1533 1432 1291 1386 1383 1549
Tnfrsf10b 227 233 85 86 216 105
Rhobtb2 1527 1451 1070 1059 1514 1149
Pebp4 10 11 4 5 0 0
Egr3 1622 1880 552 632 1782 616
Bin3 1212 1119 1055 1101 1116 1192
2610301G19Rik 3324 3239 2114 2183 3025 2527
9930012K11Rik 313 273 248 238 269 226
Pdlim2 1501 1703 1575 1862 1605 1798
Sorbs3 80 91 39 49 102 46
Ppp3cc 3118 3046 3340 3572 3323 4051
Slc39a14 733 671 316 320 685 335
Piwil2 18 26 19 28 32 27
Polr3d 950 948 772 856 985 968
Mir320 0 0 0 0 0 0
Phyhip 26 32 36 47 41 36
Bmp1 19 6 9 11 15 14
Sftpc 0 0 0 0 0 0
Lgi3 0 0 0 0 0 0
Reep4 1217 1392 1454 1746 1276 1698
Hr 5 2 7 8 0 1
Nudt18 608 547 532 605 574 584
Fam160b2 1392 1544 1318 1495 1361 1463
Epb4.9 2 5 13 18 4 16
Fgf17 1 2 4 0 4 0
Npm2 33 23 22 12 22 13
Xpo7 3845 3545 3538 3725 3747 3980
Dok2 10796 12031 12805 13709 11559 14371
2410012E07Rik 0 0 0 0 0 0
Gfra2 175 132 29 14 149 23
Gm4251 0 0 0 0 0 0
4930434J06Rik 0 0 0 0 0 0
Fndc3a 2399 1942 1191 1293 2173 1589
Gm9199 85 56 40 24 1 4
Cysltr2 160 115 72 101 137 88
Rcbtb2 4228 4002 4059 4343 3989 4746
Rb1 4234 3447 2879 2727 3994 3363
Mir687 5 3 2 4 5 7
Lpar6 2207 1948 1398 1209 2272 1445
Itm2b 15394 14021 11912 12533 14709 13970
Med4 1149 1149 1156 1103 1235 1253
Nudt15 41 39 42 30 43 50
Sucla2 1809 1387 1483 1459 1485 1774
4933402J15Rik 0 0 0 0 0 0
Htr2a 13 12 0 3 11 1
Esd 1597 1419 1598 1747 1474 1855
Lrch1 2640 2421 1787 1819 2529 1991
Gm4278 0 0 0 0 0 0
Mir466f-3 0 1 0 0 0 0
5031414D18Rik 54 50 164 219 54 204
Lrrc63 0 0 0 1 0 0
Lcp1 53648 49574 47281 50019 51820 56525
Cpb2 0 0 0 0 2 1
Zc3h13 3862 3143 3330 3313 3435 3779
Siah3 19 14 1 0 26 1
Spert 0 0 0 0 0 0
4930564B18Rik 0 0 0 0 0 0
Cog3 2229 1918 1819 1903 1957 2136
Slc25a30 625 574 718 745 589 797
Gm4285 60 53 53 62 57 64
Tpt1 44291 38926 27031 27569 38253 32045
Snora31 152 183 118 114 177 141
Gtf2f2 747 700 755 749 710 911
Kctd4 4 2 12 10 0 0
1200011I18Rik 1538 1293 1344 1437 1411 1733
Nufip1 912 789 717 785 849 883
Tsc22d1 293 313 222 260 281 262
4930444M15Rik 0 1 2 0 2 1
Serp2 103 85 366 378 107 397
1700108F19Rik 0 0 0 0 0 2
Lacc1 91 86 119 106 73 119
Ccdc122 33 20 9 7 19 11
Enox1 0 0 0 0 0 0
Gm6994 0 0 0 0 0 0
Gm1587 0 0 0 0 0 0
Dnajc15 2248 2253 4428 4376 2275 5259
Epsti1 11523 9338 20242 20750 10342 24205
Fam216b 0 0 0 0 0 0
Mir1971 0 0 0 0 0 0
Tnfsf11 943 840 31 23 801 23
Akap11 2464 1958 1297 1395 2249 1569
Dgkh 561 461 1053 1049 532 1196
Vwa8 1153 1064 476 490 1129 574
Zfp957 0 0 0 1 0 0
Rgcc 1189 1112 372 400 1008 452
Naa16 1677 1462 1425 1321 1645 1611
Mtrf1 100 74 88 73 101 126
Kbtbd7 370 285 317 335 318 443
Zbtbd6 33 45 58 73 50 60
Wbp4 1102 997 831 862 1149 1001
Elf1 10926 9890 10470 10662 10852 12429
Sugt1 2319 1984 2116 2240 2277 2519
Lect1 1 0 0 0 0 0
4930452G13Rik 0 0 0 0 0 0
Mir759 0 0 0 0 0 0
Pcdh8 0 0 0 0 1 0
Gm10845 0 1 1 1 2 0
Olfm4 0 0 0 0 0 1
Pcdh17 0 0 2 0 0 0
9630013A20Rik 0 0 0 0 0 0
4930529K09Rik 0 0 0 0 0 0
Diap3 827 685 782 721 762 995
Tdrd3 631 594 349 376 589 405
Pcdh20 0 0 0 0 0 0
Gm5088 308 262 195 156 0 0
4930474H20Rik 0 0 0 0 0 0
Pcdh9 0 0 0 0 0 0
4921530L21Rik 0 0 0 0 0 0
Klhl1 0 0 0 0 0 0
Dach1 0 0 0 0 0 0
Mzt1 1334 1137 1172 1067 1420 1378
Bora 841 806 558 576 805 733
Dis3 1240 979 699 696 1216 902
Pibf1 459 309 285 249 413 374
Klf5 2 3 3 4 2 4
Klf12 148 145 65 53 150 68
1700110M21Rik 0 0 0 0 0 0
Tbc1d4 7048 5891 826 830 6581 909
Commd6 486 457 471 479 512 551
Uchl3 754 636 670 672 772 856
Lmo7 6 6 13 15 5 13
Kctd12 1427 1319 876 875 1385 1087
Mir5130 0 0 0 0 0 0
4933432I03Rik 2 5 0 0 1 1
Irg1 40 33 18 28 44 21
Cln5 999 935 877 953 917 1107
Fbxl3 3341 2885 2468 2555 3156 2940
Mycbp2 14630 12923 8402 8783 13544 9657
Scel 14 8 11 9 10 16
Slain1 2548 2359 1704 1796 2547 2251
4921525B02Rik 215 157 113 114 4 0
Ednrb 0 1 0 0 2 1
4930432J09Rik 1 0 0 0 0 0
Pou4f1 17 15 6 5 20 9
Rnf219 422 372 305 350 368 372
D130009I18Rik 0 0 0 0 1 0
Gm17066 913 781 528 510 921 627
Rbm26 2250 1834 1237 1209 2017 1474
Ndfip2 1138 940 1301 1301 1115 1390
5430440P10Rik 0 0 0 0 0 0
4930449E01Rik 0 0 0 0 0 0
Spry2 156 133 69 90 145 101
Trim52 1 0 0 0 0 0
1700128A07Rik 0 0 0 0 0 0
Slitrk1 0 0 0 0 0 0
Mir3964 0 0 0 0 0 0
Slitrk6 0 0 0 0 0 0
Slitrk5 0 0 0 0 0 0
Mir466 0 0 0 0 0 0
4930524C18Rik 0 0 0 0 0 0
Mir17 0 1 0 0 1 1
Mir18 1 0 0 1 3 3
Mir19a 0 2 3 0 3 1
Mir20a 3 4 2 1 2 1
Mir19b-1 0 0 0 0 1 1
Mir17hg 413 320 215 277 376 308
Mir92-1 0 0 0 0 0 0
Gpc5 0 0 0 0 0 0
4930505G20Rik 0 0 0 0 0 0
Gpc6 0 0 0 0 0 0
Dct 0 0 0 0 0 0
Tgds 445 412 441 517 477 631
Gpr180 343 352 304 318 339 348
Sox21 0 2 0 0 0 0
Gm9376 0 0 0 0 0 0
1700044C05Rik 0 0 0 0 0 0
Abcc4 1599 1513 879 795 1516 974
Cldn10 17 11 3 0 8 5
Dzip1 1260 1160 491 538 1191 609
Dnajc3 5877 5032 4797 5055 5618 5619
Uggt2 48 34 15 13 20 3
Hs6st3 31 31 0 0 41 0
1700006F04Rik 1 0 0 0 0 0
Oxgr1 0 0 0 0 0 1
Mbnl2 1508 1310 1113 1152 1470 1462
Rap2a 535 499 1115 1148 581 1200
Ipo5 3869 3508 3745 3808 3698 4136
Farp1 1241 1187 310 340 1217 403
Stk24 7860 7110 6250 6325 7504 7196
Slc15a1 2 0 1 0 0 1
Dock9 1908 1665 1758 1834 1801 2046
Ubac2 1990 2006 2196 2372 1991 2426
Gpr18 1263 1363 2032 2196 1388 2396
Gpr183 5679 5495 4819 4986 5455 5395
Timm8a2 10 4 9 11 13 9
A330035P11Rik 21 27 25 34 31 17
Tm9sf2 3541 3022 2960 3068 3266 3657
Clybl 140 127 176 204 158 199
1700108J01Rik 0 0 0 0 0 0
Gm5089 1 2 1 4 0 0
Zic5 2 0 0 0 0 2
2610035F20Rik 0 0 0 0 0 0
Zic2 0 0 0 0 0 0
Pcca 476 383 196 217 469 238
Ggact 276 297 224 235 314 244
Tmtc4 371 298 334 318 347 341
AA536875 0 0 0 0 0 0
Nalcn 1 2 0 0 0 0
Itgbl1 0 0 0 0 0 0
Fgf14 0 1 0 0 0 0
1700024B18Rik 0 0 0 0 0 0
Sepp1 3422 2981 722 774 3279 844
Ccdc152 5 7 3 1 0 0
Ghr 1 1 1 0 0 0
Fbxo4 374 308 235 251 329 310
AW549877 3730 3086 2080 2034 3338 2480
A630020A06 3 0 2 3 1 0
BC037032 7 4 4 1 6 2
Oxct1 2931 2557 1599 1757 2863 1931
Plcxd3 0 1 0 0 0 0
C6 16 15 4 5 12 6
Mroh2b 0 0 0 0 0 0
C7 0 0 0 0 0 3
Card6 1667 1545 1736 1914 1570 2187
Rpl37 6435 6440 5462 5933 6571 6696
Snord72 30 24 22 32 31 36
Prkaa1 1781 1531 1561 1707 1770 2046
Ttc33 578 534 533 543 503 639
Ptger4 2632 2684 3324 3477 2853 3813
5430437J10Rik 2 3 6 2 3 4
Dab2 1 7 4 11 3 14
C9 0 0 0 0 0 0
Fyb 15880 13449 6881 7108 14951 8285
Rictor 5389 4482 4519 4501 4957 5084
Osmr 3 4 0 0 2 1
Lifr 24 31 102 133 24 152
Egflam 0 0 0 0 0 0
Gdnf 0 0 0 0 0 0
Wdr70 608 573 482 523 636 563
Nup155 1589 1305 1349 1383 1464 1512
2410089E03Rik 1559 1423 1098 1148 1447 1362
Nipbl 11196 8873 7913 7766 10270 9214
Slc1a3 3 3 2 0 2 2
Ranbp3l 17 11 5 10 0 0
Nadkd1 550 472 467 439 539 477
Skp2 292 283 239 237 276 281
Lmbrd2 409 369 253 232 356 284
Ugt3a1 0 0 0 0 0 0
Ugt3a2 0 0 0 0 0 0
Capsl 40 37 3 7 35 6
Il7r 12770 10473 5589 5459 12082 6595
Spef2 101 58 82 75 65 81
Prlr 1 0 5 1 0 4
Agxt2 0 0 0 0 0 0
Dnajc21 1383 1069 1035 1017 1270 1243
Brix1 1560 1440 1290 1254 1526 1463
Rad1 412 430 412 387 416 448
Ttc23l 0 0 0 0 0 0
Rai14 48 49 11 17 68 13
Gm10389 2 1 1 3 2 0
4930556M19Rik 0 1 0 0 1 0
Gm19276 3 2 0 0 0 0
C1qtnf3 2 0 0 0 0 0
Amacr 77 61 33 34 57 33
Slc45a2 0 2 0 0 0 0
Rxfp3 0 1 0 0 0 0
Adamts12 0 0 1 0 0 0
Tars 2813 2477 2481 2519 2610 2952
Npr3 0 0 0 0 0 0
1700047G03Rik 0 0 0 0 0 0
Sub1 6603 5372 8516 8713 6373 9842
Zfr 4373 3526 2641 2836 3968 3179
Mir1898 46 36 19 13 45 27
Mtmr12 3667 3290 3067 3326 3507 3713
Golph3 4748 4288 3320 3686 4769 4092
Pdzd2 151 139 81 81 14 4
6030458C11Rik 1307 1167 984 962 1216 1057
Drosha 2097 1872 1436 1505 2063 1655
Cdh6 0 0 0 0 0 0
Cdh9 0 0 0 0 0 0
4921515E04Rik 0 0 0 0 0 0
Cdh10 2 0 0 0 0 2
Acot10 30 22 16 15 18 21
Cdh12 0 0 0 0 0 0
Gm5803 6 10 9 9 6 8
Cdh18 0 0 0 0 0 0
Basp1 53 46 104 92 41 111
Gm5468 0 0 0 0 0 0
Myo10 109 98 50 42 126 47
Fam134b 2756 2337 729 767 2496 812
Zfp622 2366 2317 2094 2334 1953 2375
March11 0 0 0 0 0 0
Fbxl7 0 0 0 0 0 0
Ank 1181 1102 1334 1406 1040 1458
Fam105b 1670 1541 2166 2394 1534 2499
Fam105a 2933 2654 3564 3575 2834 4094
Trio 875 827 326 313 829 317
Dnahc5 0 0 0 0 0 0
Ctnnd2 17 17 66 76 24 87
4930430F21Rik 0 0 0 0 0 0
Dap 3214 3312 3371 3744 3297 3981
Ankrd33b 4 4 17 11 4 10
Ropn1l 19 23 6 8 17 16
March6 3677 3057 2736 2808 3354 3140
Cmbl 1 6 4 3 2 0
Cct5 8222 6979 6505 6796 7149 7487
Fam173b 292 296 213 325 355 327
Tas2r119 0 0 0 0 0 0
0610007N19Rik 0 1 1 1 1 2
Snord123 0 0 0 0 0 0
Sema5a 0 0 0 4 1 0
Sdc2 0 1 2 4 3 3
Cpq 50 57 24 20 60 42
1700084J12Rik 2 0 2 0 0 0
4930592A05Rik 0 2 0 0 0 0
Tspyl5 4 1 2 3 0 5
Mtdh 4149 3546 2953 2806 3817 3445
Laptm4b 51 60 41 44 62 48
Matn2 357 299 26 22 279 34
9430069I07Rik 4 2 1 0 0 1
Gm12191 0 0 0 0 0 0
Rpl30 82 88 55 65 71 104
BC030476 3 8 3 4 3 1
Hrsp12 336 237 292 309 297 362
Pop1 362 347 394 471 363 519
Nipal2 0 0 0 0 0 0
4930413F20Rik 0 0 0 0 0 0
Kcns2 0 0 0 0 0 0
Stk3 265 176 65 83 224 90
Osr2 510 595 17 14 578 14
BC048602 6 7 0 0 0 0
Vps13b 4702 4439 4046 3960 4678 4512
Mir599 0 0 0 1 0 0
Mir875 1 1 3 0 0 0
Cox6c 2192 1754 1960 1998 1983 2357
Rgs22 0 0 0 0 0 0
Fbxo43 3 0 4 3 3 0
Polr2k 269 195 247 273 254 331
Spag1 191 196 159 165 182 248
Rnf19a 5652 4824 2490 2490 5270 2916
Ankrd46 1293 1173 476 540 1201 615
Snx31 0 1 2 0 1 2
Pabpc1 41195 40507 37271 39560 43785 45158
Ywhaz 12855 12095 10668 11246 13157 13038
Zfp706 2076 1788 1837 1856 1979 2200
Grhl2 0 2 4 9 1 6
Ncald 426 327 2008 2185 358 2363
Gm15941 4 6 39 26 7 20
4930447A16Rik 3 3 5 10 0 0
Rrm2b 900 812 696 721 903 873
Ubr5 9164 7928 5766 5574 8562 6479
Odf1 0 0 0 0 0 0
Klf10 1332 1206 1264 1440 1286 1608
Azin1 6006 4752 4146 4198 5319 4870
2310043O21Rik 0 0 1 2 1 1
Atp6v1c1 1449 1417 1491 1487 1689 1713
Baalc 0 0 0 0 0 0
Fzd6 50 33 10 9 48 13
Cthrc1 3 0 0 0 0 0
Slc25a32 795 671 514 533 742 607
Dcaf13 1591 1436 1324 1356 1607 1685
Rims2 49 38 5 1 71 0
Dcstamp 1 0 2 3 0 0
Dpys 0 0 0 0 0 0
Gm16291 0 0 0 0 0 0
Lrp12 97 89 13 15 91 21
AU022793 0 0 0 0 0 0
9330182O14Rik 0 0 0 0 0 0
Gm16294 0 0 0 0 0 0
Zfpm2 0 0 0 0 0 0
Oxr1 2125 1823 1406 1424 1948 1707
Abra 0 2 0 1 0 0
Angpt1 2 5 5 1 0 2
Rspo2 0 0 0 0 0 0
Eif3e 7587 6280 5737 5608 7230 6881
Gm10373 0 0 0 0 0 1
Emc2 1212 1022 1125 967 1164 1274
Tmem74 0 0 1 0 1 0
Trhr 0 0 0 0 0 0
Nudcd1 472 399 364 363 443 427
Eny2 662 506 568 563 637 713
Pkhd1l1 4 4 5 14 8 17
Ebag9 781 630 487 503 770 592
Sybu 1 1 0 0 0 0
2310069G16Rik 0 0 0 0 0 0
A930017M01Rik 0 0 0 0 0 0
Kcnv1 0 0 0 0 0 0
1700022A22Rik 0 0 0 0 0 0
4930523O13Rik 0 0 0 0 0 0
4930548G14Rik 0 0 0 0 0 0
Csmd3 0 0 0 0 0 0
Trps1 2369 1968 638 663 2148 804
Mir1907 3 2 1 0 1 0
Gm19303 0 0 0 0 0 0
Eif3h 10556 10033 9786 10437 10737 11390
Utp23 604 464 553 530 500 694
Rad21 10785 9015 9997 10226 10260 11944
Aard 0 0 0 0 0 0
Slc30a8 0 0 0 0 0 0
Med30 966 938 1119 1190 909 1191
Ext1 1656 1489 149 126 1658 166
Samd12 0 0 0 0 0 0
Tnfrsf11b 1 0 0 0 0 0
Colec10 0 0 0 0 0 0
Mal2 0 0 0 0 0 0
Nov 0 1 2 2 1 1
Enpp2 142 117 25 31 151 39
Taf2 1591 1388 1253 1337 1481 1553
Dscc1 116 108 132 137 105 152
Gm9920 0 2 0 1 0 0
Deptor 4 5 6 5 6 10
Col14a1 4 3 1 1 1 1
Mrpl13 805 599 718 749 747 917
Mtbp 827 756 825 819 799 999
Sntb1 1223 1240 916 988 1176 1044
Has2 0 0 1 0 0 0
Has2as 0 0 0 0 0 0
Slc22a22 0 0 0 0 0 0
Zhx2 1417 1398 514 621 1460 599
Derl1 2726 2626 2615 2627 2575 2858
Wdr67 583 451 501 520 540 559
Fam83a 0 3 0 2 1 0
9130401M01Rik 456 395 329 372 417 397
Zhx1 1750 1436 1573 1533 1703 1804
Atad2 4318 3604 3997 3900 3988 4734
Wdyhv1 715 682 767 761 818 819
Fbxo32 804 755 585 607 816 697
Klhl38 0 0 0 0 0 0
Anxa13 0 0 0 0 0 0
D15Ertd621e 2913 2325 2311 2426 2647 2753
Tmem65 1418 1161 453 517 1348 607
Trmt12 131 147 97 123 117 144
Rnf139 1803 1627 1128 1193 1677 1348
Tatdn1 222 179 163 161 150 185
Ndufb9 1269 1151 1208 1183 1129 1445
Mtss1 300 280 109 130 308 116
Zfp572 0 0 0 0 0 0
Sqle 662 592 579 517 610 592
E430025E21Rik 2017 1813 1929 1950 1849 2136
Nsmce2 559 536 603 645 589 767
Trib1 1216 1249 604 613 1264 676
Gm19510 1 5 5 11 8 11
4933412E24Rik 0 0 0 0 1 0
Fam84b 688 470 435 466 649 630
9930014A18Rik 27 33 25 25 28 11
A1bg 0 0 0 0 0 0
D030024E09Rik 0 0 0 0 0 0
Myc 1731 1794 1322 1447 1784 1529
Pvt1 683 649 557 573 661 703
H2afy3 45 33 36 31 0 0
Gm20740 0 0 0 0 0 0
Gsdmc 0 0 0 0 0 0
1700065I16Rik 0 0 0 0 0 0
Gsdmc2 0 0 0 0 0 0
Gsdmcl1 0 0 0 0 0 0
Gsdmc3 0 0 0 0 0 0
Gsdmc4 4 3 2 2 2 2
Gsdmcl-ps 1 2 1 3 0 0
Fam49b 6209 5475 6041 6041 6059 7141
Asap1 5094 4798 1706 1861 5018 2019
Adcy8 0 0 0 0 0 0
Efr3a 4097 3591 3518 3684 3993 4517
Oc90 0 1 1 1 0 0
Hhla1 0 0 0 0 0 0
Kcnq3 3 4 0 0 2 0
Lrrc6 96 82 12 7 104 5
Tmem71 5438 4368 4632 4822 5125 5783
Phf20l1 10979 8891 6601 6398 10026 7799
Tg 132 115 51 59 130 42
Sla 15947 13741 9734 10370 14606 11996
Wisp1 108 76 3 4 81 8
Ndrg1 271 246 194 193 244 225
St3gal1 5128 4727 3040 3347 4865 3631
1700012I11Rik 0 0 1 0 0 0
Zfat 270 254 244 257 254 281
Mir30b 0 0 0 0 0 0
Mir30d 0 0 0 0 0 0
Khdrbs3 1 2 5 4 1 8
Gm19782 0 0 0 0 0 0
Fam135b 3 8 1 2 3 3
Col22a1 0 2 0 0 0 0
Kcnk9 0 0 0 0 0 0
Trappc9 976 1039 660 694 921 698
Peg13 1205 1080 366 394 1087 392
Chrac1 785 765 609 736 873 722
Eif2c2 6951 6382 4448 4617 6647 5254
Ptk2 92 81 38 56 89 48
Dennd3 204 238 497 514 232 532
Slc45a4 634 585 416 430 541 440
Gpr20 0 0 0 0 0 0
Ptp4a3 1547 1717 2950 3301 1747 3442
Mroh5 0 0 0 0 0 0
Bai1 1 1 0 0 0 0
Mroh4 0 0 0 0 0 0
Arc 269 290 219 215 287 214
Jrk 98 90 49 65 94 61
4933427E11Rik 1 1 3 6 5 2
Psca 0 0 0 0 0 0
Them6 312 373 371 462 310 426
Slurp1 0 1 0 0 0 0
Lypd2 0 0 0 0 0 0
2300005B03Rik 0 0 0 0 0 0
Lynx1 13 22 32 34 17 40
Ly6d 63 47 309 311 72 361
D730001G18Rik 0 1 0 1 0 1
Ly6k 23 21 16 18 30 17
Gml 0 0 0 0 0 0
Hemt1 0 0 0 0 0 0
Cyp11b1 0 0 0 0 0 0
Cyp11b2 0 0 0 0 0 0
2010109I03Rik 4 5 3 1 5 1
Ly6e 20205 21850 17061 19911 21221 20496
Ly6i 6 7 5 2 2 10
Ly6a 4591 4319 2427 2631 4446 2831
Ly6c1 377 353 1235 1327 342 1512
Ly6c2 2989 2934 13406 14871 3180 14916
Ly6f 0 0 0 0 0 0
9030619P08Rik 2 1 0 4 1 1
Ly6h 1 0 0 0 1 0
Gpihbp1 0 0 0 0 0 0
Zfp41 324 373 222 225 337 281
Top1mt 208 173 92 103 170 90
Rhpn1 1 1 19 21 5 23
Mafa 4 6 10 12 5 7
